Type;Category;Family;Genus;Species;Mean_BodySize_µm;Habitat;Name;Sub-Phylum;Name_Abbreviation;Log10_BodySize
Unicellular;Phytoplankton;Dictyosphaeriaceae;Westella;botryoides;52.5;pel;Westella botryoides;phytoplankton;Wstb;1.72015930340596
Unicellular;Cyanobacteria;Cyanothecaceae;Cyanothece;sp.;51.5;pel;Cyanothece sp;cyanobacteria;Cyns;1.71180722904119
Unicellular;Phytoplankton;Hydrodictyaceae;Monactinus;simplex;50.5;pel;Monactinus simplex;phytoplankton;Mncs;1.70329137811866
Unicellular;Phytobenthos;Bacillariaceae;Nitzschia;supralitorea;50;ben;Nitzschia supralitorea;phytoplankton;Ntzschsp;1.69897000433602
Unicellular;Phytoplankton;Stylococcaceae;Bitrichia;chodatii;50;pel;Bitrichia chodatii;phytoplankton;Btrc;1.69897000433602
Unicellular;Phytoplankton;Peridiniaceae;Peridinium;volzii;50;pel;Peridinium volzii;phytoplankton;Prdv;1.69897000433602
Unicellular;Phytoplankton;Peridiniaceae;Peridinium;willei;50;pel;Peridinium willei;phytoplankton;Prdw;1.69897000433602
Unicellular;Phytoplankton;Stephanodiscaceae;Stephanodiscus;alpinus;49.5;pel;Stephanodiscus alpinus;phytoplankton;Stpa;1.69460519893357
Unicellular;Phytoplankton;Stephanodiscaceae;Stephanodiscus;minutulus;49.5;pel;Stephanodiscus minutulus;phytoplankton;Stpm;1.69460519893357
Unicellular;Phytoplankton;Stephanodiscaceae;Stephanodiscus;neoastraea;49.5;pel;Stephanodiscus neoastraea;phytoplankton;Stpn;1.69460519893357
Unicellular;Phytoplankton;Gymnodiniaceae;Gymnodinium;helveticum;49.5;pel;Gymnodinium helveticum;phytoplankton;Gymh;1.69460519893357
Unicellular;Phytoplankton;Gymnodiniaceae;Gymnodinium;lantzschii;49.5;pel;Gymnodinium lantzschii;phytoplankton;Gyml;1.69460519893357
Unicellular;Phytoplankton;Gymnodiniaceae;Gymnodinium;sp1;49.5;pel;Gymnodinium sp1;phytoplankton;Gsp1;1.69460519893357
Unicellular;Phytoplankton;Characiaceae;Ankyra;judayi;49;pel;Ankyra judayi;phytoplankton;Ankj;1.69019608002851
Unicellular;Phytoplankton;Characiaceae;Ankyra;inerme;49;pel;Ankyra inerme;phytoplankton;Anki;1.69019608002851
Unicellular;Phytoplankton;Characiaceae;Ankyra;lanceolata;49;pel;Ankyra lanceolata;phytoplankton;Ankl;1.69019608002851
Unicellular;Phytobenthos;Gomphonemataceae;Gomphonema;acuminatum;48;ben;Gomphonema acuminatum;phytoplankton;Gmphna;1.68124123737559
Unicellular;Phytoplankton;Gymnodiniaceae;Amphidinium;herdmanii;47.5;pel;Amphidinium herdmanii;phytoplankton;Amph;1.67669360962487
Unicellular;Phytobenthos;Naviculaceae;Navicula;tripunctata;46;ben;Navicula tripunctata;phytoplankton;Nvct;1.66275783168157
Unicellular;Phytoplankton;Stephanodiscaceae;Puncticulata;bodanica;46;pel;Puncticulata bodanica;phytoplankton;Pncb;1.66275783168157
Unicellular;Phytobenthos;Rhopalodiaceae;Epithemia;sorex;45;ben;Epithemia sorex;phytoplankton;Epts;1.65321251377534
Unicellular;Phytobenthos;Gomphonemataceae;Gomphonema;capitatum;44.5;ben;Gomphonema capitatum;phytoplankton;Gmpc;1.64836001098093
Unicellular;Phytoplankton;Treubariaceae;Treubaria;triappendiculata;44.5;pel;Treubaria triappendiculata;phytoplankton;Trbt;1.64836001098093
Unicellular;Phytobenthos;Gomphonemataceae;Gomphonema;truncatum;44;ben;Gomphonema truncatum;phytoplankton;Gmphnmtrn;1.64345267648619
Unicellular;Ciliates;Strombidiidae;Strombidium;sp.;43;pel;Strombidium sp;invertebrate;Strms;1.63346845557959
Unicellular;Phytobenthos;Gomphonemataceae;Gomphonema;bavaricum;42.5;ben;Gomphonema bavaricum;phytoplankton;Gmpb;1.62838893005031
Unicellular;Phytobenthos;Gomphonemataceae;Gomphonema;elegans;42.5;ben;Gomphonema elegans;phytoplankton;Gmpe;1.62838893005031
Unicellular;Phytobenthos;Diploneidaceae;Diploneis;krammeri;42;ben;Diploneis krammeri;phytoplankton;Dplk;1.6232492903979
Unicellular;Phytobenthos;Bacillariaceae;Nitzschia;dissipata;41.5;ben;Nitzschia dissipata;phytoplankton;Ntzschds;1.61804809671209
Unicellular;Ciliates;Tetrahymenidae;Tetrahymena;sp.;40;pel;Tetrahymena sp;invertebrate;Ttrs;1.60205999132796
Unicellular;Phytobenthos;Naviculaceae;Navicula;radiosafallax;40;ben;Navicula radiosafallax;phytoplankton;Nvclrdsf;1.60205999132796
Unicellular;Phytobenthos;Berekeleyaceae;Parlibellus;protracta;38.5;ben;Parlibellus protracta;phytoplankton;Prlp;1.5854607295085
Unicellular;Phytobenthos;Gomphonemataceae;Encyonema;caespitosum;38;ben;Encyonema caespitosum;phytoplankton;Encc;1.57978359661681
Unicellular;Ciliates;Cyclidiidae;Clyclidium;sp.;37.5;pel;Clyclidium sp;invertebrate;Clys;1.57403126772772
Unicellular;Phytoplankton;Peridiniaceae;Peridinium;aciculiferum;37.5;pel;Peridinium aciculiferum;phytoplankton;Prda;1.57403126772772
Unicellular;Phytobenthos;Catenulaceae;Amphora;copulata;37;ben;Amphora copulata;phytoplankton;Ampc;1.56820172406699
Unicellular;Phytobenthos;Fragilariaceae;Fragilaria;radians;36.5;ben;Fragilaria radians;phytoplankton;Frgr;1.56229286445647
Unicellular;Phytobenthos;Bacillariaceae;Nitzschia;sociabilis;36;ben;Nitzschia sociabilis;phytoplankton;Ntzschsc;1.55630250076729
